run,route_idx,route_label,bin_label,bin_value,argmax_count,argmax_rate,true_nearest_count,true_nearest_rate,avg_probability
gemini_eval,1,expert_0:google/gemini-3-flash-preview,L,0.55,4,0.02247191011235955,10,0.056179775280898875,0.05373013553764211
gemini_eval,1,expert_0:google/gemini-3-flash-preview,M,0.6,0,0.0,11,0.06179775280898876,0.03719462850915917
gemini_eval,1,expert_0:google/gemini-3-flash-preview,N,0.65,4,0.02247191011235955,16,0.0898876404494382,0.056491937331353013
gemini_eval,1,expert_0:google/gemini-3-flash-preview,O,0.7,0,0.0,6,0.033707865168539325,0.042135158067129634
gemini_eval,1,expert_0:google/gemini-3-flash-preview,P,0.75,0,0.0,3,0.016853932584269662,0.029355725511552744
gemini_eval,1,expert_0:google/gemini-3-flash-preview,Q,0.8,0,0.0,8,0.0449438202247191,0.03782614634183937
gemini_eval,1,expert_0:google/gemini-3-flash-preview,R,0.85,0,0.0,6,0.033707865168539325,0.03461852048136545
gemini_eval,1,expert_0:google/gemini-3-flash-preview,S,0.9,0,0.0,7,0.03932584269662921,0.044678014637693095
gemini_eval,1,expert_0:google/gemini-3-flash-preview,T,0.95,64,0.3595505617977528,21,0.11797752808988764,0.07333571170822958
gemini_eval,1,expert_0:google/gemini-3-flash-preview,U,1.0,0,0.0,4,0.02247191011235955,0.029122065920173454
gptoss_train,0,primary_model,A,0.0,143,0.27984344422700586,104,0.2035225048923679,0.1965613440207685
gptoss_train,0,primary_model,B,0.05,0,0.0,12,0.023483365949119372,0.021594181369842938
gptoss_train,0,primary_model,C,0.1,11,0.021526418786692758,35,0.0684931506849315,0.05189685954280843
gptoss_train,0,primary_model,D,0.15,22,0.043052837573385516,29,0.05675146771037182,0.07078238368948371
gptoss_train,0,primary_model,E,0.2,98,0.1917808219178082,54,0.10567514677103718,0.09083364422010702
gptoss_train,0,primary_model,F,0.25,167,0.3268101761252446,52,0.10176125244618395,0.09195692687470342
gptoss_train,0,primary_model,G,0.3,10,0.019569471624266144,32,0.06262230919765166,0.07549485330696415
gptoss_train,0,primary_model,H,0.35,0,0.0,28,0.0547945205479452,0.06032826469497485
gptoss_train,0,primary_model,I,0.4,1,0.0019569471624266144,28,0.0547945205479452,0.051691338367750896
gptoss_train,0,primary_model,J,0.45,10,0.019569471624266144,31,0.060665362035225046,0.04940498503394672
gptoss_train,0,primary_model,K,0.5,8,0.015655577299412915,24,0.046966731898238745,0.039484948987154524
gptoss_train,0,primary_model,L,0.55,5,0.009784735812133072,16,0.03131115459882583,0.03609900637559994
gptoss_train,0,primary_model,M,0.6,0,0.0,14,0.0273972602739726,0.02960489790834737
gptoss_train,0,primary_model,N,0.65,13,0.025440313111545987,11,0.021526418786692758,0.02998418636314102
gptoss_train,0,primary_model,O,0.7,2,0.003913894324853229,11,0.021526418786692758,0.023488968999677545
gptoss_train,0,primary_model,P,0.75,6,0.011741682974559686,5,0.009784735812133072,0.019503866020821065
gptoss_train,0,primary_model,Q,0.8,0,0.0,2,0.003913894324853229,0.013081909392215657
gptoss_train,0,primary_model,R,0.85,0,0.0,5,0.009784735812133072,0.012028103379198499
gptoss_train,0,primary_model,S,0.9,0,0.0,3,0.005870841487279843,0.009996658364223464
gptoss_train,0,primary_model,T,0.95,15,0.029354207436399216,5,0.009784735812133072,0.017356382921738394
gptoss_train,0,primary_model,U,1.0,0,0.0,10,0.019569471624266144,0.008826294980275306
gptoss_train,1,expert_0:openai/gpt-oss-120b,A,0.0,362,0.7084148727984344,87,0.17025440313111545,0.15423288868845908
gptoss_train,1,expert_0:openai/gpt-oss-120b,B,0.05,15,0.029354207436399216,45,0.08806262230919765,0.06260556366691938
gptoss_train,1,expert_0:openai/gpt-oss-120b,C,0.1,12,0.023483365949119372,38,0.07436399217221135,0.08041047877149106
gptoss_train,1,expert_0:openai/gpt-oss-120b,D,0.15,16,0.03131115459882583,47,0.09197651663405088,0.08720223581210625
gptoss_train,1,expert_0:openai/gpt-oss-120b,E,0.2,9,0.01761252446183953,37,0.07240704500978473,0.08011633211677555
gptoss_train,1,expert_0:openai/gpt-oss-120b,F,0.25,61,0.11937377690802348,34,0.06653620352250489,0.07979130369124464
gptoss_train,1,expert_0:openai/gpt-oss-120b,G,0.3,0,0.0,22,0.043052837573385516,0.0568898260691832
gptoss_train,1,expert_0:openai/gpt-oss-120b,H,0.35,0,0.0,31,0.060665362035225046,0.047595545778018215
gptoss_train,1,expert_0:openai/gpt-oss-120b,I,0.4,0,0.0,21,0.0410958904109589,0.04651066719316522
gptoss_train,1,expert_0:openai/gpt-oss-120b,J,0.45,0,0.0,22,0.043052837573385516,0.03402510743048051
gptoss_train,1,expert_0:openai/gpt-oss-120b,K,0.5,1,0.0019569471624266144,19,0.03718199608610567,0.035245701622605416
gptoss_train,1,expert_0:openai/gpt-oss-120b,L,0.55,0,0.0,19,0.03718199608610567,0.030960174037076155
gptoss_train,1,expert_0:openai/gpt-oss-120b,M,0.6,1,0.0019569471624266144,11,0.021526418786692758,0.027814788060198326
gptoss_train,1,expert_0:openai/gpt-oss-120b,N,0.65,14,0.0273972602739726,10,0.019569471624266144,0.035130378749932814
gptoss_train,1,expert_0:openai/gpt-oss-120b,O,0.7,2,0.003913894324853229,13,0.025440313111545987,0.02781505669826421
gptoss_train,1,expert_0:openai/gpt-oss-120b,P,0.75,0,0.0,9,0.01761252446183953,0.017604470961791446
gptoss_train,1,expert_0:openai/gpt-oss-120b,Q,0.8,0,0.0,15,0.029354207436399216,0.018088554768314367
gptoss_train,1,expert_0:openai/gpt-oss-120b,R,0.85,0,0.0,3,0.005870841487279843,0.018067262944586666
gptoss_train,1,expert_0:openai/gpt-oss-120b,S,0.9,0,0.0,6,0.011741682974559686,0.01878282138156256
gptoss_train,1,expert_0:openai/gpt-oss-120b,T,0.95,18,0.03522504892367906,11,0.021526418786692758,0.025471663690507487
gptoss_train,1,expert_0:openai/gpt-oss-120b,U,1.0,0,0.0,11,0.021526418786692758,0.015639181120951983
gemini_train,0,primary_model,A,0.0,154,0.3013698630136986,104,0.2035225048923679,0.20110802048267779
gemini_train,0,primary_model,B,0.05,0,0.0,12,0.023483365949119372,0.021562364906047102
gemini_train,0,primary_model,C,0.1,18,0.03522504892367906,35,0.0684931506849315,0.05524000510028445
gemini_train,0,primary_model,D,0.15,58,0.11350293542074363,29,0.05675146771037182,0.07421379006313299
gemini_train,0,primary_model,E,0.2,80,0.15655577299412915,54,0.10567514677103718,0.08563395348501003
gemini_train,0,primary_model,F,0.25,76,0.1487279843444227,52,0.10176125244618395,0.08154183525365181
gemini_train,0,primary_model,G,0.3,70,0.136986301369863,32,0.06262230919765166,0.08239951608201909
